"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 16 13:52:13 MSK 2021","Wed Jun 16 13:52:15 MSK 2021","2295","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"skipped","Wed Jun 16 13:52:07 MSK 2021","Wed Jun 16 13:52:09 MSK 2021","2170","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Wed Jun 16 13:52:54 MSK 2021","Wed Jun 16 13:53:06 MSK 2021","12101","","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Wed Jun 16 13:52:18 MSK 2021","Wed Jun 16 13:52:21 MSK 2021","2344","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"skipped","Wed Jun 16 13:52:45 MSK 2021","Wed Jun 16 13:52:51 MSK 2021","6313","","test_product_page","TestProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
"passed","Wed Jun 16 13:50:48 MSK 2021","Wed Jun 16 13:50:49 MSK 2021","1664","","test_product_page","TestLoginFromProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Wed Jun 16 13:51:50 MSK 2021","Wed Jun 16 13:51:53 MSK 2021","2239","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Wed Jun 16 13:51:28 MSK 2021","Wed Jun 16 13:51:30 MSK 2021","2341","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"passed","Wed Jun 16 13:51:45 MSK 2021","Wed Jun 16 13:51:47 MSK 2021","2362","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"passed","Wed Jun 16 13:50:59 MSK 2021","Wed Jun 16 13:51:03 MSK 2021","3508","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"skipped","Wed Jun 16 13:52:39 MSK 2021","Wed Jun 16 13:52:41 MSK 2021","2132","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Wed Jun 16 13:52:24 MSK 2021","Wed Jun 16 13:52:36 MSK 2021","12022","","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Wed Jun 16 13:51:34 MSK 2021","Wed Jun 16 13:51:36 MSK 2021","2403","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Wed Jun 16 13:50:27 MSK 2021","Wed Jun 16 13:50:39 MSK 2021","12366","","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Wed Jun 16 13:51:56 MSK 2021","Wed Jun 16 13:51:58 MSK 2021","2222","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Wed Jun 16 13:51:13 MSK 2021","Wed Jun 16 13:51:25 MSK 2021","11561","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Wed Jun 16 13:50:21 MSK 2021","Wed Jun 16 13:50:23 MSK 2021","1397","","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Wed Jun 16 13:50:42 MSK 2021","Wed Jun 16 13:50:44 MSK 2021","1302","","test_product_page","TestLoginFromProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Wed Jun 16 13:51:39 MSK 2021","Wed Jun 16 13:51:42 MSK 2021","2384","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Wed Jun 16 13:52:01 MSK 2021","Wed Jun 16 13:52:04 MSK 2021","2676","","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Wed Jun 16 13:50:16 MSK 2021","Wed Jun 16 13:50:18 MSK 2021","2002","","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
